Date,Open,High,Low,Close,Shares Traded,Turnover (₹ Cr)
2024-11-22,23411.8,23956.1,23359.0,23907.25,367562789.0,39257.52
2024-11-25,24253.55,24351.55,24135.45,24221.9,687172787.0,85975.81
2024-11-26,24343.3,24343.3,24125.4,24194.5,230691771.0,24140.67
2024-11-27,24204.8,24354.55,24145.65,24274.9,295011445.0,31149.09
2024-11-28,24274.15,24345.75,23873.35,23914.15,366745300.0,41198.27
2024-11-29,23927.15,24188.45,23927.15,24131.1,282104071.0,30509.98
2024-12-02,24140.85,24301.7,24008.65,24276.05,220384187.0,23162.75
2024-12-03,24367.5,24481.35,24280.0,24457.15,339470947.0,34228.3
2024-12-04,24488.75,24573.2,24366.3,24467.45,348003156.0,34639.78
2024-12-05,24539.15,24857.75,24295.55,24708.4,361469920.0,40471.33
2024-12-06,24729.45,24751.05,24620.5,24677.8,226731303.0,23904.13
2024-12-09,24633.9,24705.0,24580.05,24619.0,248139308.0,25099.79
2024-12-10,24652.65,24677.8,24510.65,24610.05,261048951.0,26093.38
2024-12-11,24620.5,24691.75,24583.85,24641.8,187252712.0,21592.23
2024-12-12,24604.45,24675.25,24527.95,24548.7,266051129.0,28235.17
2024-12-13,24498.35,24792.3,24180.8,24768.3,310080852.0,30429.73
2024-12-16,24753.4,24781.25,24601.75,24668.25,187551629.0,18608.23
2024-12-17,24584.8,24624.1,24303.45,24336.0,264881033.0,26765.16
2024-12-18,24297.95,24394.45,24149.85,24198.85,235346534.0,23315.92
2024-12-19,23877.15,24004.9,23870.3,23951.7,271128027.0,27815.23
2024-12-20,23960.7,24065.8,23537.35,23587.5,442714411.0,47084.68
2024-12-23,23738.2,23869.55,23647.2,23753.45,189758237.0,18243.28
2024-12-24,23769.1,23867.65,23685.15,23727.65,177664746.0,16010.71
2024-12-26,23775.8,23854.5,23653.6,23750.2,177681783.0,16695.1
2024-12-27,23801.4,23938.85,23800.6,23813.4,176821521.0,17164.99
2024-12-30,23796.9,23915.35,23599.3,23644.9,364929453.0,33823.95
2024-12-31,23560.6,23689.85,23460.45,23644.8,193627727.0,18646.79
2025-01-01,23637.65,23822.8,23562.8,23742.9,154921938.0,14266.26
2025-01-02,23783.0,24226.7,23751.55,24188.65,283200811.0,32237.25
2025-01-03,24196.4,24196.45,23976.0,24004.75,312279515.0,29411.99
2025-01-06,24045.8,24089.95,23551.9,23616.05,278061806.0,25853.64
2025-01-07,23679.9,23795.2,23637.8,23707.9,262337253.0,22485.65
2025-01-08,23746.65,23751.85,23496.15,23688.95,266375381.0,24718.54
2025-01-09,23674.75,23689.5,23503.05,23526.5,269239831.0,26793.85
2025-01-10,23551.9,23596.6,23344.35,23431.5,261022434.0,25017.6
2025-01-13,23195.4,23340.95,23047.25,23085.95,316481107.0,26890.37
2025-01-14,23165.9,23264.95,23134.15,23176.05,311235510.0,31174.05
2025-01-15,23250.45,23293.65,23146.45,23213.2,228039156.0,21587.78
2025-01-16,23377.25,23391.65,23272.05,23311.8,299416081.0,29784.82
2025-01-17,23277.1,23292.1,23100.35,23203.2,272945267.0,27040.78
2025-01-20,23290.4,23391.1,23170.65,23344.75,301455455.0,27333.97
2025-01-21,23421.65,23426.3,22976.85,23024.65,312871897.0,30106.72
2025-01-22,23099.15,23169.55,22981.3,23155.35,275951918.0,25462.05
2025-01-23,23128.3,23270.8,23090.65,23205.35,275558357.0,27723.78
2025-01-24,23183.9,23347.3,23050.0,23092.2,264336332.0,24412.46
2025-01-27,22940.15,23007.45,22786.9,22829.15,257372790.0,24202.41
2025-01-28,22960.45,23137.95,22857.65,22957.25,361868609.0,33221.8
2025-01-29,23026.75,23183.35,22976.5,23163.1,251208119.0,22307.38
